,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
voter_share_SN[2],0.071,0.005,0.063,0.08,0.0,0.0,66580.0,27909.0,1.0
voter_share_SN[3],0.021,0.003,0.016,0.026,0.0,0.0,44660.0,29124.0,1.0
voter_share_SN[4],0.042,0.004,0.036,0.049,0.0,0.0,48772.0,28619.0,1.0
voter_share_SN[5],0.366,0.01,0.35,0.382,0.0,0.0,68151.0,32216.0,1.0
voter_share_SN[6],0.071,0.005,0.063,0.079,0.0,0.0,55445.0,29509.0,1.0
voter_share_SN[7],0.052,0.004,0.045,0.06,0.0,0.0,42733.0,26340.0,1.0
voter_share_ST[0],0.319,0.014,0.295,0.342,0.0,0.0,57644.0,30949.0,1.0
voter_share_ST[1],0.086,0.009,0.072,0.1,0.0,0.0,55353.0,29632.0,1.0
voter_share_ST[2],0.03,0.005,0.022,0.039,0.0,0.0,42952.0,28791.0,1.0
voter_share_ST[3],0.038,0.006,0.029,0.048,0.0,0.0,49988.0,28783.0,1.0
voter_share_ST[4],0.043,0.006,0.033,0.053,0.0,0.0,49794.0,27395.0,1.0
voter_share_ST[5],0.307,0.014,0.284,0.33,0.0,0.0,69909.0,29386.0,1.0
voter_share_ST[6],0.133,0.01,0.116,0.15,0.0,0.0,64820.0,29258.0,1.0
voter_share_ST[7],0.043,0.006,0.032,0.052,0.0,0.0,42758.0,25897.0,1.0
voter_share_SH[0],0.415,0.016,0.389,0.44,0.0,0.0,42543.0,24059.0,1.0
voter_share_SH[1],0.175,0.012,0.156,0.195,0.0,0.0,46858.0,30141.0,1.0
voter_share_SH[2],0.144,0.011,0.125,0.162,0.0,0.0,48506.0,28488.0,1.0
voter_share_SH[3],0.045,0.007,0.034,0.055,0.0,0.0,78746.0,26767.0,1.0
voter_share_SH[4],0.001,0.001,0.0,0.003,0.0,0.0,5929.0,4029.0,1.0
voter_share_SH[5],0.15,0.011,0.131,0.168,0.0,0.0,44827.0,28336.0,1.0
voter_share_SH[6],0.035,0.006,0.025,0.044,0.0,0.0,76867.0,27753.0,1.0
voter_share_SH[7],0.036,0.006,0.027,0.046,0.0,0.0,39531.0,25077.0,1.0
voter_share_TH[0],0.25,0.008,0.238,0.263,0.0,0.0,39457.0,30820.0,1.0
voter_share_TH[1],0.069,0.005,0.061,0.076,0.0,0.0,50813.0,28222.0,1.0
voter_share_TH[2],0.027,0.003,0.022,0.032,0.0,0.0,68582.0,26880.0,1.0
voter_share_TH[3],0.0,0.0,0.0,0.001,0.0,0.0,3594.0,2055.0,1.0
voter_share_TH[4],0.119,0.006,0.11,0.129,0.0,0.0,43590.0,29809.0,1.0
voter_share_TH[5],0.343,0.009,0.329,0.357,0.0,0.0,41558.0,27892.0,1.0
voter_share_TH[6],0.134,0.006,0.124,0.145,0.0,0.0,42587.0,30135.0,1.0
voter_share_TH[7],0.057,0.004,0.05,0.064,0.0,0.0,40230.0,24114.0,1.0
